CT_titles,ECs,common
LS1781 Phase 2 Trial of High Dose Intravenous Ascorbic Acid as an Adjunct to Salvage Chemotherapy in Relapsed / Refractory Lymphoma and Patients With Clonal Cytopenia of Undetermined Significance,"[inclusion] arms A/B - eligible for treatment with ifosfamide, carboplatin, and etoposide (+/- rituximab)",
"A Pilot Safety, Feasibility, Efficacy And Correlative (Phase I/II) Study Assessing Herba Scutellaria Barbatae (HSB) For Metastatic Breast Cancer",[inclusion] no concurrent anticancer biologic therapy,
Phase I Study of the Combination of Crizotinib and Dasatinib in Pediatric Research Participants With Diffuse Pontine Glioma (DIPG) and High-Grade Glioma (HGG),[exclusion] prior therapy with a PDGFR or c-Met inhibitor,
"A Phase I Study of Oblimersen (Genasense≒, G3139) in Combination With Gemcitabine in Advanced Malignancies",[inclusion] no unstable angina pectoris,
Phase II Trial of AZD9291 in First Line Treatment of Lung Cancer Harboring Activating EGFR Mutation From Circulating Tumor DNA and Second Line Treatment After Acquired Resistance With T790M Mutation Detected From Circulating Tumor DNA,[inclusion] male patients should be willing to use barrier contraception,1
Dosing Requirements of Astagraf XL∝ in African American Kidney Transplant Recipients Converted From Twice-daily Tacrolimus,[inclusion] african American race,1
Atezolizumab Plus Bevacizumab for Patients With Advanced Hepatocellular Carcinoma (HCC) and Chronic Hepatitis B Virus (HBV) Infection,"[exclusion] serious, non-healing or dehiscing wound, active ulcer, or untreated bone fractureMetastatic disease that involves major airways or blood vessels, or centrally located mediastinal tumor masses (<30 mm from the carina) of large volume Patients with vascular invasion of the portal or hepatic veins may be enrolled",
Randomized Phase III Study Assessing the Interest of Primary Tumor Resection in Patients With Asymptomatic Colon Cancer and Unresectable Synchronous Liver Metastases.,[exclusion] history of anti-EGFR or anti-VEGF treatment within the past 5 years,
A Double-Blind Randomized Placebo Controlled Trial for Prevention of Tuberculosis-Immune Reconstitution Inflammatory Syndrome With Non-Steroid Anti-Inflammatory Drugs (NSAIDs) in HIV-Infected Adults,[exclusion] history of gastro-intestinal bleeding or peptic ulcer,
"Phase II Clinical Study of AK112, an Anti-PD-1 and VEGF Bispecific Antibody, Alone or in Combination With Chemotherapy for the Neoadjuvant/Adjuvant Treatment of Resectable Non-small Cell Lung Cancer",[inclusion] Has adequate organ function,1
"A Phase I-II Study of OSI-774 (Tarceva, Erlotinib) With Docetaxel/Carboplatin Followed by Maintenance Therapy With Tarceva as Treatment for Newly Diagnosed Stage III/IV Epithelial Ovarian Cancer, Primary Peritoneal or Fallopian Tube Cancer","[inclusion] no medical, social, or psychosocial factor that would preclude study participation",1
The Effect of Opioid-free Anesthesia Using Dexmedetomidine-lidocaine on Acute Postoperative Pain in Gynecological Laparoscopy,[inclusion] patients scheduled for elective gynecological laparoscopy,
Phase I/II Clinical Trial of Intrathecal Pemetrexed as First Line Intrathecal Chemotherapy in Patients With Leptomeningeal Metastasis,[inclusion] no prior intrathecal chemotherapy,
Hepatocytes Co-Encapsulated With Mesenchymal Stromal Cells in Alginate Microbeads for the Treatment of Acute Liver Failure in Paediatric Patients (HELP),[exclusion] previous liver transplant,
"First-in-human, Open-label, Dose-escalation Trial With Expansion Cohorts to Evaluate Safety of GEN1044 in Subjects With Malignant Solid Tumors","[exclusion] has a history of ｜ grade 2 cytokine release syndrome (CRS) with other CD3-based bispecifics, or a history of ｜ grade 3 allergic reactions to monoclonal antibody therapy as well as known or has known allergies, hypersensitivity, or intolerance to GEN1044 or its excipients",
Multi-Center Phase II Randomized Controlled Trial of Na?ve T Cell Depletion for Prevention of Chronic Graft-Versus-Host Disease in Children and Young Adults,[inclusion] karnofsky or Lansky score >= 60%,1
Effect of Self-administered Lidocaine In-situ Gel Prior to Intrauterine Device Insertion in Women With no Previous Vaginal Delivery: A Randomized Controlled Study,[exclusion] women refuse to participate in the study,1
"A Phase IIa, Randomised, Multi-centre, Double-blind, Placebo and Active-controlled, 3 Periods, Crossover Study to Investigate the Efficacy, Pharmacokinetics, Safety and Tolerability of Inhaled AZD8871 Administered Once Daily for 2 Weeks in Patients With Moderate to Severe COPD",[exclusion] patient has received a live attenuated vaccination within 30 days prior to Screening,
Refining MDR-TB Treatment (T) Regimens (R) for Ultra(U) Short(S) Therapy(T) (TB-TRUST)-PLUS,[exclusion] hemoglobin is less than 90g/L or platelet is less than 75*10^9/L,
"A 12-week, Double-blind, Randomized, Parallel-group, Placebo-controlled Study of 4 Doses of VX-509 in Subjects With Active Rheumatoid Arthritis",[inclusion] subjects must have failed at least 1 nonbiologic DMARD for any reason,
"A Phase II Study of Ramucirumab for Advanced, Pre-Treated Biliary Cancers",[inclusion] must have received at least one regimen containing gemcitabine chemotherapy,
"A Dose Ascending, Open Phase I Clinical Study to Evaluate the Safety, Tolerability and Pharmacokinetics Characteristics of VG161 in Subjects With Advanced Malignant Solid Tumors",[inclusion] life expectancy is at least 3 months,1
"A Phase-IIa, Double-blind, Randomized Study on the Tolerability and Early Efficacy of hLF1-11 in Hospitalized Patients With Proven Candidaemia. (SLIC: Study of Lactoferrin Peptide in Infections With Candida)",[exclusion] females who have a positive pregnancy test at baseline or are capable of child-bearing i.e. without appropriate contraception (chemical or mechanical),1
Oral Cholecalciferol (Vitamin D3) Therapy in Prevalent Hemodialysis Patients: A Randomized Placebo Controlled Pilot Study,[inclusion] participant is ｜ 18 years,1
Prodige 26: Radiochemotherapy With and Without Dose Escalation in Patients Presenting Locally Advanced or Inoperable Carcinoma of the Oesophagus,"[exclusion] PNN < 1,5.109 /l",
"A Multicentre, Randomised, Dose-confirmation, Factorial Phase II Study to Evaluate the Optimal Dose of 68Ga-OPS202 as a PET Imaging Agent in Subjects With Gastroenteropancreatic Neuroendocrine Tumour (GEP-NET)",[exclusion] prior or planned administration of a radiopharmaceutical within 8 half-lives of the radionuclide,
MK0476 Phase II/III Placebo Controlled Double Blind Study,"[exclusion] patient Has Any Known Or Suspected, Acute Or Chronic Cause For Their Pulmonary Symptoms Other Than Asthma (E.G., Copd, Chronic Heart Failure, Etc.)",
An Open-label Phase 2 Study of Intravenous Bortezomib and Oral Panobinostat (LBH589) in Adult Patients With Relapsed/Refractory Peripheral T-cell Lymphoma or NK/T-cell Lymphoma After Failure of Conventional Chemotherapy,[inclusion] clinically significant active infection,1
"Phase II Trial for the Treatment of Older Patients With Newly Diagnosed CD19 Positive, Ph/BCR-ABL Negative B-precursor Acute Lymphoblastic Leukemia With Sequential Dose Reduced Chemotherapy and Blinatumomab (EWALL-BOLD)",[exclusion] antileukemic pretreatment (GMALL prephase with dexamethasone and cyclophosphamide allowed),
"A Randomised, Single-dose, Double-blind, Placebo-controlled, 5-way Crossover Study to Investigate the Efficacy, Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Inhaled Doses of GW642444M With and Without Magnesium Stearate in Asthmatic Patients","[exclusion] subjects with a history of life-threatening asthma, defined as an asthma episode that required intubation and/or was associated with either respiratory arrest or hypoxic seizures",
Safety and Efficacy Study of Retifanlimab and Epacadostat in Combination With Radiation and Bevacizumab in Patients With Recurrent Gliomas,"[inclusion] prior use of the Optune device is allowed, without a washout period. However, concurrent Optune use is not permitted while on treatment for this trial",
"A Phase II, Trial of Chloroquine in Combination With VELCADE and Cyclophosphamide in Patients With Relapsed and Refractory Myeloma","[inclusion] measurable disease, defined as a monoclonal immunoglobulin spike on serum electrophoresis of ｜ 1 Gm/dL and/or urine monoclonal immunoglobulin spike of ｜ 200 mg/24 hours",
"Comparison of Treatment Outcome of Cabergoline According to Target Prolactin Levels in Patients With Prolactinoma: A Prospective, Randomized, Open Label, Active-controlled, Clinical Trial",[exclusion] moderate degree of hepatic or renal insufficiency (IDMS Modification of Diet in Renal Disease glomerular filtration rate (MDRD GFR) <45 ml/min/1.73m2),1
Safety of Cultured Autologous Adult Adipose Derived Mesenchymal Stem Cell Intravenous Infusion for the Treatment of Cerebral Palsy,[exclusion] chronic multisystem organ failure,
"An Ascending Single-Dose Study of the Safety, Tolerability and Bioeffect of REGN1193",[inclusion] normal standard 12-lead ECG,
A Phase 1 Multiple Dose Study to Evaluate the Safety and Tolerability of XmAb∝20717 in Subjects With Selected Advanced Solid Tumors,"[inclusion] PART B (Dose Expansion Cohorts): Castrate-resistant adenocarcinoma of the prostate, defined as progressive disease after surgical castration, or progression in the setting of medical androgen ablation with a castrate level of testosterone (< 50 ng/dL)",
"An Open-Label, Non-Randomized, Multicenter Study to Determine the Pharmacokinetics and Safety of Niraparib Following a Single Oral Dose in Patients With Advanced Solid Tumors and Either Normal Hepatic Function or Moderate Hepatic Impairment",[inclusion] patient has adequate hematologic and renal function as defined below: Serum creatinine ∥1.5 ／ ULN or a calculated creatinine clearance ｜60 mL/min using the Cockcroft-Gault equation,1
Prevention of Akute Kidney Injury With Human Atrial Natriuretic Peptide in Patients Undergoing Heart Transplant.,[exclusion] donor heart ischemia time > 6 tim,
Effect of Topical Sulforaphane on Skin Fragility Seen in Skin Aging and With Ultraviolet Exposure,[exclusion] subjects who are unable to provide informed consent,1
"A Randomized, Double-blind, Placebo-controlled, Single Ascending Dose Study to Assess the Safety, Pharmacokinetics, Efficacy and Pharmacodynamics of KBSA301 in Severe Pneumonia (S. Aureus)","[inclusion] written informed consent provided by the patient, the relatives or the designated trusted person and/or according to local guidelines",1
Phase Ib Study of Erlotinib Prior to Surgery in Patients With Head and Neck Cancer,"[exclusion] patients currently on chemotherapy, immunotherapy, or therapy with monoclonal antibodies or other investigational agents with anti-tumor activity",
Initial Vancomycin Taper for the Prevention of Recurrent Clostridium Difficile Infection,[exclusion] toxic megacolon at presentation not resolved by day 10,
"A Phase 2, Randomized, Double-Blind, Multicenter Study of Fulvestrant With and Without Entinostat in Postmenopausal Women With Hormone Receptor-Positive Advanced Breast Cancer",[exclusion] patient has an allergy to benzamide or inactive components of the study drug,1
"Cognitive Improvement With Aripiprazole (Abilify) in Patients With Schizophrenia, (SFBRI).",[inclusion] initiation or recurrence of alcohol or substance abuse/dependence,1
"A Phase 2b, Safety and Efficacy Study of Boceprevir in Patients Coinfected With HIV and Hepatitis C (Protocol No. P05411)",[exclusion] participants receiving opiate agonist substitution therapy but not enrolled in an opiate substitution maintenance program,
A Randomized Phase II Study Of Eribulin Mesylate With Or Without Pembrolizumab For Metastatic Hormone Receptor Positive Breast Cancer,[exclusion] participants who are receiving any other investigational agents,1
A Phase II Trial of the PD-1 Antibody Nivolumab in Combination With Hypofractionated Re-irradiation and Bevacizumab for Recurrent MGMT Methylated Glioblastoma,[inclusion] prior course of radiation therapy,
